ID	TREASURE	PRICE
=============================
1	Treasure1	10
2	Treasure2	360
3	Treasure3	710
4	Treasure4	1060
5	Treasure5	1410
6	Treasure6	1760
7	Treasure7	2110
8	Treasure8	2460
9	Treasure9	2810
10	Treasure10	10
11	Treasure11	360
12	Treasure12	710
13	Treasure13	1060
14	Treasure14	1410
15	Treasure15	1760
16	Treasure16	2110
17	Treasure17	2460
18	Treasure18	2810
19	Treasure19	10
20	Treasure20	360
21	Treasure21	710
22	Treasure22	1060
23	Treasure23	1410
24	Treasure24	1760
25	Treasure25	2110
26	Treasure26	2460
27	Treasure27	2810
28	Treasure28	10
29	Treasure29	360
30	Treasure30	710
31	Treasure31	1060
32	Treasure32	1410
33	Treasure33	1760
34	Treasure34	2110
35	Treasure35	2460
36	Treasure36	2810
37	Treasure37	10
38	Treasure38	360
39	Treasure39	710
40	Treasure40	1060
41	Treasure41	1410
42	Treasure42	1760
43	Treasure43	2110
44	Treasure44	2460
45	Treasure45	2810
46	Treasure46	10
47	Treasure47	360
48	Treasure48	710
49	Treasure49	1060
50	Treasure50	1410
51	Treasure51	1760
52	Treasure52	2110
53	Treasure53	2460
54	Treasure54	2810
55	Treasure55	10
56	Treasure56	360
57	Treasure57	710
58	Treasure58	1060
59	Treasure59	1410
60	Treasure60	1760
61	Treasure61	2110
62	Treasure62	2460
63	Treasure63	2810
64	Treasure64	10
65	Treasure65	360
66	Treasure66	710
67	Treasure67	1060
68	Treasure68	1410
69	Treasure69	1760
70	Treasure70	2110
71	Treasure71	2460
72	Treasure72	2810
73	Treasure73	10
74	Treasure74	360
75	Treasure75	710
76	Treasure76	1060
77	Treasure77	1410
78	Treasure78	1760
79	Treasure79	2110
80	Treasure80	2460
81	Treasure81	2810
82	Treasure82	10
83	Treasure83	360
84	Treasure84	710
85	Treasure85	1060
86	Treasure86	1410
87	Treasure87	1760
88	Treasure88	2110
89	Treasure89	2460
90	Treasure90	2810
91	Treasure91	10
92	Treasure92	360
93	Treasure93	710
94	Treasure94	1060
95	Treasure95	1410
96	Treasure96	1760
97	Treasure97	2110
98	Treasure98	2460
99	Treasure99	2810
100	Treasure100	10
